date,SM_median,Loss,r_pre,r_cur,r_avg,slope_day,slope_night,slope_neg,n_day,n_night,n_neg,n_win,y_min,y_max,t_min,t_max
2018-01-01,31.8,-0.20000076,0.0,0.0,0.0,0.0,0.0,-0.09999847412109375,10,14,1,24,31.7,32.5,2018-01-01T14:00:00.0,2018-01-01T19:00:00.0
2018-01-02,32.0,-0.40000153,0.0,0.0,0.0,0.0,0.0,0.0,10,14,0,24,32.0,33.9,2018-01-03T03:00:00.0,2018-01-02T21:00:00.0
2018-01-03,33.3,-6.0,0.0,0.13333256542682648,0.06666628271341324,0.2857142984867096,0.13333256542682648,0.0,10,14,0,24,32.6,38.7,2018-01-03T08:00:00.0,2018-01-04T05:00:00.0
2018-01-04,38.2,3.800003,0.13333256542682648,-0.12999992072582245,0.0016663223505020142,-0.1999969482421875,-0.12999992072582245,-0.1899997740983963,10,14,10,24,34.6,38.6,2018-01-05T07:00:00.0,2018-01-04T11:00:00.0
2018-01-05,34.4,-2.9000015,-0.12999992072582245,0.0,-0.06499996036291122,-0.03333282470703125,0.0,-0.057142529636621475,10,14,7,24,34.2,37.8,2018-01-05T15:00:00.0,2018-01-06T05:00:00.0
2018-01-06,36.25,0.79999924,0.0,0.02222188375890255,0.011110941879451275,-0.18333308398723602,0.02222188375890255,-0.19000014662742615,10,14,10,24,35.4,37.6,2018-01-06T19:00:00.0,2018-01-06T23:00:00.0
2018-01-07,35.65,1.5,0.02222188375890255,-0.09999974817037582,-0.03888893220573664,-0.125,-0.09999974817037582,-0.15000009536743164,10,14,8,24,34.7,36.2,2018-01-08T07:00:00.0,2018-01-07T08:00:00.0
2018-01-08,34.5,1.0,-0.09999974817037582,-0.049999237060546875,-0.07499949261546135,-0.03333282470703125,-0.049999237060546875,-0.040000151842832565,10,14,10,24,33.6,34.6,2018-01-09T07:00:00.0,2018-01-08T10:00:00.0
2018-01-09,33.6,0.5999985,-0.049999237060546875,-0.03750038146972656,-0.04374980926513672,0.0,-0.03750038146972656,-0.09999847412109375,10,14,1,24,33.0,33.6,2018-01-10T07:00:00.0,2018-01-09T14:00:00.0
2018-01-10,33.0,0.29999924,-0.03750038146972656,-0.023076863959431648,-0.030288622714579105,0.0,-0.023076863959431648,-0.09999847412109375,10,14,1,24,32.7,33.1,2018-01-11T07:00:00.0,2018-01-10T13:00:00.0
